Lattitude,long_lat,Year,State,Sl. No.,Released Amount,_c0,longitude
25.30579583,"(25.30579583333333, 82.73057083333333)",2019,Uttar Pradesh,1,9000000,0,82.73057083
25.30579583,"(25.30579583333333, 82.73057083333333)",2019,Uttar Pradesh,2,9000000,1,82.73057083
29.9431,"(29.9431, 78.15813333333334)",2019,Uttarakhand,3,8100000,2,78.15813333
30.2119,"(30.2119, 79.461)",2019,Uttarakhand,4,6000000,3,79.461
30.5243,"(30.5243, 79.04587142857143)",2019,Uttarakhand,5,5400000,4,79.04587143
30.1078,"(30.1078, 78.2925)",2019,Uttarakhand,6,7668000,5,78.2925
29.9638,"(29.9638, 78.4974)",2019,Uttarakhand,7,8100000,6,78.4974
30.47532667,"(30.475326666666664, 78.92048666666666)",2019,Uttarakhand,8,6000000,7,78.92048667
23.5157,"(23.5157, 72.0772)",2019,Gujarat,9,9000000,8,72.0772
21.58931905,"(21.58931904761905, 70.64564761904761)",2019,Gujarat,10,9000000,9,70.64564762
23.78716818,"(23.787168181818185, 73.06722272727274)",2019,Gujarat,11,9000000,10,73.06722273
20.3396,"(20.3396, 77.2373)",2019,Maharashtra,12,8008195,11,77.2373
31.80007,"(31.80007, 76.19027)",2019,Himachal Pradesh,13,7758723,12,76.19027
31.9629,"(31.9629, 76.5023909090909)",2019,Himachal Pradesh,14,9000000,13,76.50239091
31.49491,"(31.49491, 76.84469)",2019,Himachal Pradesh,15,8172731,14,76.84469
31.306,"(31.306, 76.5364)",2019,Himachal Pradesh,16,7040718,15,76.5364
31.00648571,"(31.006485714285716, 76.81342857142856)",2019,Himachal Pradesh,17,6713745,16,76.81342857
31.67669333,"(31.676693333333333, 76.85300666666667)",2019,Himachal Pradesh,18,7621231,17,76.85300667
33.2398,"(33.2398, 75.0799)",2019,Jammu & Kashmir,19,8447760,18,75.0799
33.2398,"(33.2398, 75.0799)",2019,Jammu & Kashmir,20,9000000,19,75.0799
33.2398,"(33.2398, 75.0799)",2019,Jammu & Kashmir,21,9000000,20,75.0799
33.2398,"(33.2398, 75.0799)",2019,Jammu & Kashmir,22,9000000,21,75.0799
30.1487,"(30.1487, 76.6856)",2020,Haryana,23,5400000,22,76.6856
30.7987,"(30.7987, 76.9182)",2020,Haryana,24,0,23,76.9182
